place,title,time,pay,date
경기 고양시,오늘와인한잔 & 오늘맥주한잔 라페스타,17:00~22:30,"시급10,000",5시간전
경기 고양시,오늘와인한잔 & 오늘맥주한잔 라페스타,17:00~22:30,"시급10,000",6시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 석촌역점,18:00~02:00,"월급2,560,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 석촌역점,18:00~02:00,"월급2,560,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 석촌역점,18:00~02:00,"월급2,560,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 석촌역점,18:00~02:00,"월급2,560,000",12시간전
서울 강서구,오늘와인한잔 & 오늘맥주한잔 마곡나루,15:00~00:00,"월급2,300,000",12시간전
서울 강서구,오늘와인한잔 & 오늘맥주한잔 마곡나루,시간협의,"월급2,300,000",12시간전
서울 강서구,오늘와인한잔 & 오늘맥주한잔 마곡나루,15:00~00:00,"월급2,300,000",12시간전
서울 강서구,오늘와인한잔 & 오늘맥주한잔 마곡나루,15:00~00:00,"월급2,300,000",12시간전
인천 부평구,오늘와인한잔 & 오늘맥주한잔 부평점,16:00~03:00,"월급2,720,000",12시간전
인천 부평구,오늘와인한잔 & 오늘맥주한잔 부평점,16:00~03:00,"월급2,720,000",12시간전
인천 부평구,오늘와인한잔 & 오늘맥주한잔 부평점,16:00~03:00,"월급2,720,000",12시간전
인천 부평구,오늘와인한잔 & 오늘맥주한잔 부평점,16:00~03:00,"월급2,720,000",12시간전
서울 은평구,오늘와인한잔 & 오늘맥주한잔 연신내역,06:30~09:00,"시급9,200",12시간전
서울 은평구,오늘와인한잔 & 오늘맥주한잔 연신내역,06:30~09:00,"시급9,200",12시간전
서울 은평구,오늘와인한잔 & 오늘맥주한잔 연신내역,06:30~09:00,"시급9,200",12시간전
서울 은평구,오늘와인한잔 & 오늘맥주한잔 연신내역,06:30~09:00,"시급9,200",12시간전
인천 전체,오늘와인한잔 & 오늘맥주한잔 영종하늘,시간협의,"시급9,200",12시간전
인천 전체,오늘와인한잔 & 오늘맥주한잔 영종하늘,시간협의,"시급9,200",12시간전
인천 전체,오늘와인한잔 & 오늘맥주한잔 영종하늘,시간협의,"시급9,200",12시간전
인천 전체,오늘와인한잔 & 오늘맥주한잔 영종하늘,시간협의,"시급9,200",12시간전
서울 서초구,오늘와인한잔 & 오늘맥주한잔 예술의전,시간협의,"시급9,200",12시간전
서울 서초구,오늘와인한잔 & 오늘맥주한잔 예술의전,시간협의,"시급9,200",12시간전
서울 서초구,오늘와인한잔 & 오늘맥주한잔 예술의전,시간협의,"시급9,200",12시간전
서울 서초구,오늘와인한잔 & 오늘맥주한잔 예술의전,시간협의,"시급9,200",12시간전
경기 수원시,오늘와인한잔 & 오늘맥주한잔 수원역점,시간협의,"월급2,300,000",12시간전
경기 수원시,오늘와인한잔 & 오늘맥주한잔 수원역점,시간협의,"월급2,300,000",12시간전
경기 수원시,오늘와인한잔  수원역점,시간협의,"월급2,300,000",12시간전
경기 수원시,오늘와인한잔 & 오늘맥주한잔 수원역점,시간협의,"월급2,300,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 방이점,17:00~01:00,"월급2,300,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 방이점,17:00~01:00,"월급2,300,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 방이점,17:00~01:00,"월급2,300,000",12시간전
서울 송파구,오늘와인한잔 & 오늘맥주한잔 방이점,17:00~01:00,"월급2,300,000",12시간전
경기 광주시,오늘와인한잔 & 오늘맥주한잔 광주터미,13:00~21:00,"월급2,000,000",12시간전
경기 광주시,오늘와인한잔 & 오늘맥주한잔 광주터미,13:00~21:00,"월급2,000,000",12시간전
경기 광주시,오늘와인한잔 & 오늘맥주한잔 광주터미,12:00~21:00,"월급2,000,000",12시간전
경기 광주시,오늘와인한잔 & 오늘맥주한잔 광주터미,13:00~22:00,"월급2,000,000",12시간전
광주 광산구,오늘와인한잔 & 오늘맥주한잔 광주수완,시간협의,"시급10,000",02/24
제주 제주시,오늘와인한잔 & 오늘맥주한잔 제주연동,시간협의,"월급2,500,000",02/22
