place,title,time,pay,date
전북 전주시,웅진씽크빅 송천동부지국,13:00~21:00,"월급2,000,000",4분전
경기 과천시,웅진씽크빅 안양과천지국,10:00~18:00,"월급2,000,000",6분전
경기 과천시,웅진씽크빅 안양과천지국,10:00~21:00,"월급1,500,000",7분전
경남 진주시,웅진씽크빅 진주충무공지국,13:00~18:00,"월급1,800,000",10분전
경기 안양시,웅진씽크빅 안양만안지국,13:00~19:00,"월급2,100,000",10분전
경남 진주시,웅진씽크빅 진주충무공지국,14:00~20:00,"월급1,800,000",11분전
경기 안양시,웅진씽크빅 안양만안지국,13:00~19:00,"월급2,100,000",11분전
경기 안양시,웅진씽크빅 안양만안지국,13:00~19:00,"월급2,100,000",12분전
부산 영도구,웅진씽크빅 영도지국,13:00~18:30,"월급1,800,000",12분전
부산 영도구,웅진씽크빅 영도지국,13:00~18:30,"월급1,800,000",12분전
경기 화성시,웅진씽크빅 동탄북부지국,시간협의,"월급2,000,000",12분전
경기 평택시,웅진씽크빅 서평택지국,14:00~20:30,"월급2,000,000",13분전
서울 강동구,웅진씽크빅 강동지국,13:00~18:00,"월급1,500,000",15분전
경기 화성시,웅진씽크빅 동탄북부지국,시간협의,"월급2,000,000",16분전
서울 강동구,웅진씽크빅 강동지국,14:00~20:00,"월급1,500,000",17분전
경기 화성시,웅진씽크빅 병점지국,시간협의,"월급3,000,000",17분전
서울 강동구,웅진씽크빅 강동지국,13:00~18:00,"월급1,500,000",19분전
부산 전체,웅진씽크빅 부산북구지국,15:30~20:30,"월급1,500,000",23분전
부산 전체,웅진씽크빅 부산북구지국,13:00~18:00,"월급2,000,000",25분전
경기 평택시,웅진씽크빅 평택지국,시간협의,"월급2,000,000",26분전
경기 평택시,웅진씽크빅 평택지국,시간협의,"월급2,000,000",26분전
울산 전체,웅진씽크빅 울산매곡지국,14:00~19:00,"월급1,500,000",26분전
울산 전체,웅진씽크빅 울산매곡지국,12:30~18:00,"월급2,500,000",26분전
울산 전체,웅진씽크빅 울산매곡지국,15:00~20:00,"월급2,000,000",26분전
경기 양주시,웅진씽크빅 양주지국,시간협의,"월급2,000,000",29분전
경기 양주시,웅진씽크빅 양주지국,시간협의,"월급2,000,000",29분전
경기 양주시,웅진씽크빅 양주지국,시간협의,"월급2,000,000",31분전
서울 도봉구,웅진씽크빅 창동지국,14:00~20:00,"월급1,700,000",38분전
서울 도봉구,웅진씽크빅 창동지국,14:00~20:00,"월급1,700,000",38분전
서울 도봉구,웅진씽크빅 창동지국,14:00~20:00,"월급1,700,000",39분전
서울 은평구,웅진씽크빅 연신내지국,13:00~18:00,"월급2,000,000",44분전
충남 서산시,웅진씽크빅 서산북부지국,시간협의,"월급2,000,000",45분전
충남 서산시,웅진씽크빅 서산북부지국,시간협의,"월급1,500,000",45분전
서울 은평구,웅진씽크빅 연신내지국,13:00~18:00,"월급2,000,000",45분전
서울 은평구,웅진씽크빅 연신내지국,14:00~19:30,"월급2,000,000",46분전
서울 구로구,웅진씽크빅 개봉지국,시간협의,"월급2,000,000",46분전
경기 남양주,웅진씽크빅 마석지국,13:00~21:00,"월급1,600,000",47분전
경기 남양주,웅진씽크빅 마석지국,13:00~21:00,"월급2,000,000",48분전
서울 구로구,웅진씽크빅 개봉지국,13:00~18:30,"월급2,000,000",48분전
경기 여주시,웅진씽크빅 여주지국,14:00~20:00,"월급1,500,000",48분전
