place,title,time,pay,date
부산 강서구,원조부안집 부산명지점,시간협의,"월급2,400,000",2시간전
서울 영등포,원조부안집 문래점,06:00~11:00,"시급11,000",6시간전
경기 성남시,원조부안집 판교점,17:00~23:00,"시급12,000",02/26
경기 성남시,원조부안집 판교점,17:00~23:00,"시급12,000",02/26
경기 성남시,원조부안집 판교점,17:00~23:00,"시급12,000",02/26
경기 성남시,원조부안집 판교점,17:00~23:00,"시급12,000",02/26
경남 진주시,원조부안집 진주역점,시간협의,"시급10,000",02/26
경남 진주시,원조부안집 진주역점,시간협의,"시급10,000",02/25
인천 남동구,원조부안집 구월점,시간협의,"월급2,700,000",02/22
경북 구미시,원조부안집 구미점,19:00~22:00,"시급9,160",02/22
경북 구미시,원조부안집 구미점,19:00~22:00,"시급9,160",02/22
경북 구미시,원조부안집 구미점,19:00~22:00,"시급9,160",02/22
경북 구미시,원조부안집 구미점,19:00~22:00,"시급9,160",02/22
울산 남구,원조부안집 울산삼산점,16:00~02:00,"시급10,000",02/22
울산 남구,원조부안집 울산삼산점,16:00~02:00,"시급10,000",02/22
울산 남구,원조부안집 울산삼산점,16:00~02:00,"시급10,000",02/22
서울 성동구,원조부안집 왕십리역점,시간협의,"시급11,000",02/22
서울 성동구,원조부안집 왕십리역점,시간협의,"시급11,000",02/22
서울 성동구,원조부안집 왕십리역점,시간협의,"시급11,000",02/22
서울 광진구,원조부안집 건대입구역점,시간협의,"시급11,400",02/22
인천 미추홀,원조부안집 인하대역점,시간협의,"시급10,000",02/22
인천 미추홀,원조부안집 인하대역점,시간협의,"시급10,000",02/22
인천 미추홀,원조부안집 인하대역점,시간협의,"시급10,000",02/22
인천 미추홀,원조부안집 인하대역점,시간협의,"시급10,000",02/22
인천 남동구,원조부안집 구월점,시간협의,"월급2,700,000",02/22
인천 남동구,원조부안집 구월점,시간협의,"월급2,700,000",02/22
인천 남동구,원조부안집 구월점,시간협의,"월급2,700,000",02/19
서울 광진구,원조부안집 건대입구역점,시간협의,"시급11,400",02/17
서울 성동구,원조부안집 왕십리역점,시간협의,"시급11,000",02/13
부산 강서구,원조부안집 부산명지점,시간협의,"시급9,500",02/12
부산 강서구,원조부안집 부산명지점,시간협의,"시급9,500",02/12
부산 강서구,원조부안집 부산명지점,시간협의,"시급9,500",02/12
