place,title,time,pay,date
경기 하남시,유니클로 스타필드 시티 위례점,시간협의,"시급11,160",4분전
경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"연봉26,330,000",13분전
경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"시급11,160",13분전
제주 제주시,유니클로 제주 이도점,시간협의,"연봉26,330,000",24분전
경기 부천시,유니클로 스타필드시티 부천점,시간협의,"시급11,160",32분전
경북 포항시,유니클로 포항 장성점,시간협의,"연봉26,330,000",59분전
경북 포항시,유니클로 포항 장성점,시간협의,"연봉26,330,000",1시간전
세종 전체,유니클로 세종 파이낸스센터점,시간협의,"시급9,300",1시간전
경남 김해시,유니클로 롯데마트 장유점,시간협의,"연봉26,330,000",2시간전
경기 안양시,유니클로 롯데백화점 평촌점,시간협의,"시급11,160",2시간전
경기 안양시,유니클로 롯데백화점 평촌점,시간협의,"연봉26,330,000",2시간전
인천 전체,유니클로 부평역사점,시간협의,"시급11,160",3시간전
전국 전체,유니클로 롯데마트 마산양덕점,시간협의,"시급11,160",3시간전
인천 연수구,유니클로 현대백화점 송도점,시간협의,"시급11,160",3시간전
인천 연수구,유니클로 현대백화점 송도점,시간협의,"연봉26,330,000",3시간전
경기 이천시,유니클로 롯데몰 이천점,시간협의,"시급9,300",3시간전
경기 이천시,유니클로 롯데몰 이천점,시간협의,"시급11,160",4시간전
경기 이천시,유니클로 롯데몰 이천점,시간협의,"연봉26,330,000",4시간전
경기 수원시,유니클로 롯데몰 수원점,시간협의,"시급11,160",4시간전
경기 수원시,유니클로 롯데몰 수원점,시간협의,"연봉26,330,000",4시간전
경기 성남시,유니클로 현대백화점 판교점,시간협의,"시급10,644",4시간전
경기 김포시,유니클로 김포 장기점,시간협의,"시급9,300",4시간전
경기 김포시,유니클로 김포 장기점,시간협의,"연봉26,330,000",4시간전
경기 김포시,유니클로 김포 장기점,시간협의,"시급11,644",4시간전
대구 동구,유니클로 롯데몰 이시아폴리스점,시간협의,"시급9,160",4시간전
광주 서구,유니클로 롯데아울렛 광주 월드컵점,시간협의,"연봉26,330,000",4시간전
부산 해운대,유니클로 롯데백화점 센텀시티점,시간협의,"연봉26,330,000",4시간전
경기 부천시,유니클로 스타필드시티 부천점,시간협의,"시급11,160",4시간전
경기 시흥시,유니클로 이마트 시화점,시간협의,"시급11,160",5시간전
경기 수원시,유니클로 수원 망포점,시간협의,"시급11,160",5시간전
경기 수원시,유니클로 수원 망포점,시간협의,"연봉26,330,000",5시간전
대구 북구,유니클로 롯데백화점 대구점,시간협의,"시급11,160",5시간전
경기 용인시,유니클로 용인 구성점,시간협의,"연봉26,330,000",5시간전
서울 광진구,유니클로 롯데백화점 스타시티점,시간협의,"연봉26,330,000",5시간전
제주 제주시,유니클로 롯데마트 제주점,시간협의,"연봉26,330,000",5시간전
서울 강남구,유니클로 코엑스점,시간협의,"연봉26,330,000",6시간전
제주 제주시,유니클로 제주 이도점,시간협의,"연봉26,330,000",6시간전
인천 전체,유니클로 부평역사점,시간협의,"시급11,160",6시간전
경기 수원시,유니클로 롯데몰 수원점,시간협의,"시급11,160",6시간전
경기 수원시,유니클로 롯데몰 수원점,시간협의,"연봉26,330,000",6시간전
