place,title,time,pay,date
서울 중구,육회왕자연어공주 충무로점,시간협의,"월급3,000,000",1시간전
경기 남양주,육회왕자연어공주 남양주다산점,18:30~21:30,"시급10,000",2시간전
경기 남양주,육회왕자 연어공주 다산역점,18:30~21:30,"시급10,000",2시간전
경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급2,500,000",3시간전
경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급2,500,000",3시간전
경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급2,500,000",3시간전
경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급2,500,000",3시간전
충북 청주시,육회왕자연어공주 청주오송점,05:30~21:30,"시급9,300",4시간전
경기 성남시,육회왕자연어공주 성남모란점,15:00~02:00,"월급2,800,000",02/25
경기 성남시,육회왕자연어공주 성남모란점,시간협의,"월급2,800,000",02/25
경기 성남시,육회왕자연어공주 성남모란점,시간협의,"월급2,800,000",02/25
경기 성남시,육회왕자연어공주 성남모란점,시간협의,"월급2,800,000",02/25
경남 창원시,육회왕자연어공주 창원가음정점,17:00~23:00,"시급9,160",02/25
경남 창원시,육회왕자연어공주 창원가음정점,17:00~23:00,"시급9,160",02/25
경남 창원시,육회왕자연어공주 창원가음정점,17:00~23:00,"시급9,160",02/25
경남 창원시,육회왕자연어공주 창원가음정점,17:00~23:00,"시급9,160",02/25
서울 은평구,육회왕자연어공주 은평점,16:00~02:00,"연봉30,000,000",02/23
서울 강북구,육회왕자연어공주 미아본점,18:00~23:00,"시급9,160",02/22
서울 성북구,육회왕자연어공주 미아본점,18:00~23:00,"시급9,160",02/22
서울 노원구,육회왕자연어공주 미아본점,18:00~23:00,"시급9,160",02/22
서울 동대문,육회왕자연어공주 미아본점,18:00~23:00,"시급9,160",02/22
서울 중구,육회왕자연어공주 충무로점,시간협의,"시급11,000",02/22
충북 청주시,육회왕자연어공주 청주금천광장점,04:00~19:00,"시급9,200",02/21
충북 청주시,육회왕자연어공주 청주금천광장점,04:00~19:00,"시급9,200",02/21
충북 청주시,육회왕자연어공주 청주금천광장점,04:00~19:00,"시급9,200",02/21
충북 청주시,육회왕자연어공주 청주금천광장점,04:00~19:00,"시급9,200",02/21
경기 안산시,육회왕자연어공주 안산중앙역점,18:00~23:00,"시급9,160",02/20
경기 수원시,육회왕자연어공주 망포역점,19:00~01:00,"시급10,000",02/18
경기 부천시,육회왕자연어공주 부천역점,15:30~01:30,"월급2,300,000",02/15
서울 강서구,육회왕자연어공주 마곡발산점,15:00~02:30,"월급2,650,000",02/14
경기 부천시,육회왕자연어공주 부천역점,15:30~01:30,"월급2,300,000",02/12
인천 계양구,육회왕자연어공주 인천계산점,16:00~01:00,"시급9,500",02/12
서울 동작구,육회왕자연어공주 상도2동점,01:00~01:30,"월급2,500,000",02/12
서울 마포구,육회왕자연어공주 상도2동점,01:00~01:30,"월급2,500,000",02/12
서울 동작구,육회왕자연어공주 상도2동점,01:00~01:30,"월급2,500,000",02/12
서울 동작구,육회왕자연어공주 상도2동점,01:00~01:30,"월급2,500,000",02/12
서울 중구,육회왕자연어공주 충무로점,시간협의,"시급9,160",02/11
경기 수원시,육회왕자연어공주 망포역점,18:00~01:00,"시급10,000",02/11
경기 수원시,육회왕자연어공주 망포역점,18:00~01:00,"시급10,000",02/11
