place,title,time,pay,date
경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,10:00~20:30,"월급2,450,000",1시간전
경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,12:00~16:00,"시급10,000",3시간전
경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,시간협의,"시급10,000",6시간전
서울 광진구,이비가푸드 이비가짬뽕  서울 구의점,09:30~17:00,"시급11,500",6시간전
충남 보령시,이비가푸드 이비가짬뽕  충남 보령점,시간협의,"시급9,200",7시간전
경북 칠곡군,이비가푸드 이비가짬뽕 경북 구미북삼점,시간협의,"시급9,160",7시간전
서울 강동구,이비가푸드 이비가짬뽕  서울 천호역점,09:30~17:00,"시급9,160",8시간전
서울 강동구,이비가푸드 이비가짬뽕  서울 천호역점,17:00~21:00,"시급11,500",02/26
서울 송파구,이비가푸드 이비가짬뽕  경기 올림픽공,09:30~21:30,"월급2,600,000",02/23
경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,10:30~20:00,"월급2,300,000",02/23
서울 송파구,이비가푸드 이비가짬뽕  경기 올림픽공,09:30~21:30,"월급2,600,000",02/22
충남 서산시,이비가푸드 이비가짬뽕  충남 서산점,09:00~21:00,"월급2,800,000",02/21
경북 칠곡군,이비가푸드 이비가짬뽕 경북 구미북삼점,09:00~17:00,"월급2,250,000",02/21
경기 화성시,이비가푸드 이비가짬뽕  경기 동탄영천,10:00~15:00,"시급9,500",02/20
경기 화성시,이비가푸드 이비가짬뽕  경기 동탄영천,09:30~21:30,"월급3,200,000",02/20
인천 남동구,이비가푸드 이비가짬뽕 인천 구월점,10:00~21:00,"월급2,600,000",02/18
대전 전체,이비가푸드 이비가짬뽕  대전 유성본점,09:30~21:30,"연봉38,000,000",02/16
경북 칠곡군,이비가푸드 이비가짬뽕 경북 구미북삼점,09:00~17:00,"월급2,250,000",02/16
충남 서산시,이비가푸드 이비가짬뽕  충남 서산점,09:00~21:00,"월급2,800,000",02/16
경기 오산시,이비가푸드 이비가짬뽕  경기 오산세교,10:00~21:00,"월급2,600,000",02/15
경기 오산시,이비가푸드 이비가짬뽕  경기 오산세교,10:00~21:00,"월급2,600,000",02/15
경기 오산시,이비가푸드 이비가짬뽕  경기 오산세교,10:00~21:00,"월급2,600,000",02/15
경기 수원시,이비가푸드 이비가짬뽕  경기 수원영통,시간협의,"월급2,700,000",02/15
경기 화성시,이비가푸드 이비가짬뽕  경기 수원영통,시간협의,"월급2,700,000",02/15
서울 송파구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급2,600,000",02/15
서울 송파구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급2,600,000",02/15
서울 강남구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급2,600,000",02/15
서울 강남구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급2,600,000",02/15
대전 서구,이비가푸드 이비가짬뽕  대전 월평점,09:30~20:30,"월급2,600,000",02/15
충남 아산시,이비가푸드 이비가짬뽕  충남 아산음봉,10:00~20:30,"월급2,700,000",02/15
충남 아산시,이비가짬뽕 음봉점,10:00~02:00,"시급9,200",02/15
충남 아산시,이비가푸드 이비가짬뽕  충남 아산음봉,10:00~20:30,"월급2,700,000",02/15
대전 서구,이비가푸드 이비가짬뽕  대전 월평점,09:30~20:30,"월급2,600,000",02/13
대전 서구,이비가푸드 이비가짬뽕  대전 월평점,09:30~20:30,"월급2,600,000",02/13
경기 화성시,이비가푸드 이비가짬뽕  경기 동탄영천,시간협의,"월급3,200,000",02/12
충남 아산시,이비가푸드 이비가짬뽕  충남 아산음봉,10:00~20:30,"월급2,700,000",02/11
