place,title,time,pay,date
충남 아산시,이자녹스/비욘드/네이처컬렉션 이마트,17:30~22:30,"시급9,160",48분전
경남 진주시,이자녹스/비욘드/네이처컬렉션 NC 진,시간협의,"시급9,160",4시간전
서울 전체,이자녹스/비욘드/네이처컬렉션 이마트,시간협의,"시급9,160",02/26
경북 경주시,이자녹스/비욘드/네이처컬렉션 NC 경,11:00~20:00,"연봉30,000,000",02/25
경기 광명시,이자녹스/비욘드/네이처컬렉션 이마트,시간협의,"시급9,160",02/24
경기 성남시,이자녹스/비욘드/네이처컬렉션 세이브존,09:30~02:30,"시급9,160",02/23
경북 영천시,이자녹스/비욘드/네이처컬렉션 이마트,15:00~22:00,"시급9,160",02/20
경북 영천시,이자녹스/비욘드/네이처컬렉션 이마트,15:00~22:00,"시급9,160",02/19
대구 북구,이자녹스/비욘드/네이처컬렉션 엔씨아울,시간협의,"시급9,160",02/18
경북 전체,이자녹스/비욘드/네이처컬렉션 이마트,15:00~22:00,"시급9,160",02/18
울산 전체,이자녹스/비욘드/네이처컬렉션 NC 온,11:00~19:00,"시급9,160",02/17
경북 영천시,이자녹스/비욘드/네이처컬렉션 이마트,15:00~22:00,"시급9,160",02/14
인천 중구,이자녹스/비욘드/네이처컬렉션 롯데마트,10:00~14:00,"시급9,160",02/13
광주 서구,이자녹스/비욘드/네이처컬렉션 NC 유,17:00~21:00,"시급9,160",02/12
경남 사천시,이자녹스/비욘드/네이처컬렉션 NC 사,15:30~20:30,"시급9,160",02/12
