place,title,time,pay,date
서울 전체,자라리테일코리아,시간협의,"시급11,510",1분전
서울 전체,자라리테일코리아,07:00~15:00,"시급11,510",2분전
경기 성남시,자라리테일코리아,시간협의,"시급11,510",3분전
경기 하남시,자라리테일코리아,시간협의,"연봉24,000,000",3시간전
서울 전체,자라리테일코리아,07:00~15:00,"시급11,510",3시간전
경기 전체,자라리테일코리아,시간협의,"시급11,510",3시간전
인천 전체,자라리테일코리아,07:00~15:00,"시급11,510",5시간전
광주 전체,자라리테일코리아,08:00~16:00,"시급11,510",5시간전
경남 전체,자라리테일코리아,시간협의,"시급11,510",6시간전
경기 용인시,자라리테일코리아,08:00~16:00,"시급11,510",6시간전
서울 전체,자라리테일코리아,시간협의,"시급11,510",6시간전
경기 화성시,마시모두띠코리아,시간협의,"시급11,510",7시간전
경기 전체,자라리테일코리아,시간협의,"연봉24,000,000",8시간전
서울 전체,자라리테일코리아,07:30~15:30,"시급11,510",8시간전
서울 전체,자라리테일코리아,시간협의,"시급11,510",8시간전
서울 전체,자라리테일코리아,시간협의,"시급11,510",8시간전
경기 전체,자라리테일코리아,시간협의,"연봉24,000,000",02/26
경기 전체,자라리테일코리아,시간협의,"시급11,510",02/25
경기 전체,자라리테일코리아,07:00~15:00,"시급11,510",02/25
서울 전체,자라리테일코리아,시간협의,"연봉24,000,000",02/25
경기 전체,마시모두띠코리아,시간협의,"시급11,510",02/25
경기 고양시,자라리테일코리아,시간협의,"연봉24,000,000",02/23
대전 전체,자라(인디텍스) 코리아,시간협의,"시급11,510",02/22
서울 전체,자라리테일코리아,시간협의,"연봉24,000,000",02/18
