place,title,time,pay,date
서울 용산구,장원교육 용산서,시간협의,"연봉21,000,000",39분전
서울 강남구,장원교육 서울강남,14:00~21:00,"연봉21,000,000",40분전
대구 전체,장원교육 수성,14:00~22:00,"월급2,000,000",1시간전
대구 전체,장원교육 강북,14:00~22:00,"월급2,000,000",2시간전
대구 전체,장원교육 강북,14:00~22:00,"월급2,000,000",2시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",2시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",2시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",3시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",3시간전
경기 안산시,장원교육 안산상록,시간협의,"월급2,000,000",3시간전
서울 구로구,장원교육 서울영등포,10:00~20:00,"월급2,308,320",4시간전
서울 구로구,장원교육 서울영등포,10:00~20:00,"월급2,308,320",4시간전
대구 전체,장원교육 수성,14:00~22:00,"월급2,000,000",4시간전
대구 전체,장원교육 수성,14:00~22:00,"월급2,000,000",4시간전
서울 용산구,장원교육 용산서,시간협의,"연봉21,000,000",5시간전
서울 강남구,장원교육 서울강남,14:00~21:00,"연봉21,000,000",5시간전
대구 전체,장원교육 강북,14:00~22:00,"월급2,000,000",02/26
경기 화성시,장원교육 2동탄,시간협의,"월급1,800,000",02/26
경기 화성시,장원교육 2동탄,시간협의,"월급1,800,000",02/26
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",02/25
부산 강서구,장원교육 김해,14:00~21:00,"월급1,500,000",02/25
부산 부산진,장원교육 부산진북,10:00~21:30,"월급2,200,000",02/25
대구 동구,장원교육 대구동구,15:00~21:30,"월급1,900,000",02/25
대구 동구,장원교육 대구동구,15:00~21:30,"월급1,900,000",02/25
대구 전체,장원교육 대구시지,13:30~21:00,"월급1,800,000",02/25
충남 아산시,장원교육 신아산,10:00~20:00,"월급2,000,000",02/25
경기 군포시,장원교육 군포과천,14:00~21:00,"월급2,000,000",02/25
경기 김포시,장원교육 김포,10:00~20:00,"월급2,000,000",02/25
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",02/25
경기 광명시,장원교육 광명,시간협의,"월급2,000,000",02/25
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",02/25
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",02/25
충북 제천시,장원교육 제천,16:00~21:00,"월급2,000,000",02/25
대구 전체,장원교육 강북,14:00~22:00,"월급2,000,000",02/25
충남 천안시,장원교육 천안,14:00~22:00,"월급1,800,000",02/25
세종 전체,장원교육 서대전,시간협의,"월급1,800,000",02/25
경기 수원시,장원교육 수원장안,10:00~21:00,"월급2,189,131",02/25
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",02/25
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",02/25
인천 전체,장원교육 인천연수,14:00~20:00,"월급1,900,000",02/25
