place,title,time,pay,date
경남 진주시,정직유부 진주혁신도시점,시간협의,"시급9,500",2시간전
경남 진주시,정직유부 진주혁신도시점,시간협의,"시급9,500",4시간전
세종 전체,정직유부 나성점,17:00~21:00,"시급9,200",5시간전
세종 전체,정직유부 나성점,17:00~21:00,"시급9,200",5시간전
세종 전체,정직유부 나성점,16:00~21:00,"시급9,200",6시간전
경남 창원시,정직유부 내서점,11:00~14:30,"시급9,160",6시간전
경남 창원시,정직유부 내서점,11:00~14:30,"시급9,160",7시간전
경남 창원시,정직유부 내서점,11:00~14:30,"시급9,160",8시간전
경남 창원시,정직유부 내서점,11:00~14:30,"시급9,160",02/25
충북 청주시,정직유부 금천점,시간협의,"시급9,200",02/25
부산 전체,정직유부 초량점,10:00~21:00,"시급9,160",02/24
세종 전체,정직유부 나성점,11:00~21:00,"시급9,200",02/20
부산 전체,정직유부 초량점,10:00~21:00,"시급9,160",02/20
경남 김해시,정직유부 내외동점,10:30~13:00,"시급9,160",02/19
부산 동래구,정직유부 명륜점,09:30~14:30,"월급1,350,000",02/19
경기 용인시,정직유부 역북점,11:00~14:00,"시급9,160",02/18
경기 용인시,정직유부 역북점,11:00~14:00,"시급9,160",02/18
경기 용인시,정직유부 역북점,11:00~14:00,"시급9,160",02/18
경남 창원시,정직유부 대방점,11:00~14:30,"시급9,160",02/18
