place,title,time,pay,date
경기 안성시,(주)지오다노,시간협의,"연봉26,600,000",22분전
경기 안성시,(주)지오다노,시간협의,"연봉26,600,000",53분전
서울 영등포,(주)지오다노,시간협의,"연봉26,600,000",2시간전
서울 영등포,(주)지오다노,시간협의,"연봉26,600,000",2시간전
경기 화성시,(주)지오다노,시간협의,"연봉26,600,000",4시간전
대구 중구,(주)지오다노,13:00~22:00,"연봉26,600,000",02/25
경기 안성시,(주)지오다노,시간협의,"연봉26,600,000",02/25
서울 영등포,(주)지오다노,시간협의,"연봉26,600,000",02/22
경기 시흥시,(주)지오다노,시간협의,"연봉26,600,000",02/18
경기 시흥시,(주)지오다노,시간협의,"연봉26,600,000",02/17
경기 시흥시,(주)지오다노,시간협의,"연봉26,600,000",02/16
경기 시흥시,(주)지오다노,시간협의,"연봉26,600,000",02/15
경기 용인시,(주)지오다노,09:30~18:30,"연봉26,600,000",02/11
