place,title,time,pay,date
경기 시흥시,짬뽕지존 정왕점,09:00~21:00,"월급2,800,000",31분전
경기 수원시,짬뽕지존 수원오목천점,18:00~23:00,"시급11,000",1시간전
경기 수원시,짬뽕지존 수원오목천점,12:00~17:00,"시급11,000",1시간전
전북 전주시,짬뽕지존 덕진점,11:30~14:30,"시급10,000",3시간전
전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급2,600,000",3시간전
전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급2,600,000",3시간전
전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급2,600,000",3시간전
경기 평택시,짬뽕지존 송탄점,18:00~20:30,"시급9,200",3시간전
전북 전주시,짬뽕지존 전북도청점,시간협의,"월급2,600,000",4시간전
전북 전주시,짬뽕지존 전북도청점,시간협의,"월급2,600,000",4시간전
전북 전주시,짬뽕지존 전북도청점,시간협의,"월급2,600,000",4시간전
전북 전주시,짬뽕지존 전북도청점,시간협의,"월급2,600,000",4시간전
대전 유성구,짬뽕지존 대전노은점,10:00~22:00,"월급2,800,000",5시간전
대전 유성구,짬뽕지존 대전노은점,11:00~15:00,"시급9,160",5시간전
전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급2,600,000",6시간전
전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급2,600,000",6시간전
전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급2,600,000",6시간전
전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급2,600,000",6시간전
대전 유성구,짬뽕지존 대전노은점,11:00~19:30,"시급9,160",7시간전
경기 성남시,짬뽕지존 분당오리역점,17:00~01:00,"월급2,300,000",12시간전
경기 성남시,짬뽕지존 분당오리역점,11:30~14:00,"시급10,000",12시간전
경기 성남시,짬뽕지존 분당오리역점,11:30~14:00,"시급10,000",12시간전
경기 성남시,짬뽕지존 분당오리역점,21:00~01:00,"일급51,000",12시간전
서울 전체,짬뽕지존 마곡점,09:30~21:30,"월급2,900,000",12시간전
서울 전체,짬뽕지존 마곡점,09:30~21:30,"월급2,900,000",12시간전
서울 전체,짬뽕지존 마곡점,09:30~21:30,"월급2,900,000",12시간전
서울 전체,짬뽕지존 마곡점,09:30~21:30,"월급2,900,000",12시간전
경기 부천시,짬뽕지존 부천옥길점,시간협의,"월급2,700,000",13시간전
경기 부천시,짬뽕지존 부천옥길점,시간협의,"월급2,700,000",13시간전
경기 부천시,짬뽕지존 부천옥길점,시간협의,"월급2,700,000",13시간전
서울 강동구,짬뽕지존 길동점,09:00~21:00,"월급2,570,000",13시간전
서울 강동구,짬뽕지존 길동점,09:00~21:00,"월급2,570,000",13시간전
서울 강동구,짬뽕지존 길동점,09:00~21:00,"월급2,570,000",13시간전
서울 강동구,짬뽕지존 길동점,09:00~21:00,"월급2,570,000",13시간전
경기 수원시,짬뽕지존 수원오목천점,09:00~15:00,"시급11,000",13시간전
대구 수성구,짬뽕지존 대구수성점,10:00~22:00,"월급2,500,000",02/22
충북 충주시,짬뽕지존 충주,11:00~15:00,"시급9,200",02/21
대구 수성구,짬뽕지존 대구범어점,10:00~22:00,"월급3,000,000",02/20
대전 유성구,짬뽕지존 대전노은점,10:00~22:00,"월급2,800,000",02/19
대구 수성구,짬뽕지존 대구수성점,10:00~22:00,"월급2,500,000",02/18
