place,title,time,pay,date
서울 동작구,청와옥 사당점,10:30~22:30,"월급3,300,000",02/11
서울 동작구,청와옥 사당점,10:30~22:30,"월급3,300,000",02/11
서울 동작구,청와옥 사당점,10:30~22:30,"월급3,300,000",02/11
서울 동작구,청와옥 사당점,10:30~22:30,"월급3,300,000",02/11
서울 광진구,청와옥 군자점,10:30~22:30,"월급3,300,000",02/11
서울 광진구,청와옥 군자점,10:30~22:30,"월급3,300,000",02/11
서울 광진구,청와옥 군자점,10:30~22:30,"월급3,300,000",02/11
서울 광진구,청와옥 군자점,10:30~22:30,"월급3,300,000",02/11
서울 중구,청와옥 을지로점,10:30~22:30,"월급3,300,000",02/11
서울 중구,청와옥 을지로점,10:30~22:30,"월급3,300,000",02/11
서울 중구,청와옥 을지로점,10:30~22:30,"월급3,300,000",02/11
서울 중구,청와옥 을지로점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 석촌점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 석촌점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 석촌점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 석촌점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 방이점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 방이점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 방이점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 방이점,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 중구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 광진구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 광진구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 동작구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 중구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
서울 송파구,청와옥 본사,10:30~22:30,"월급3,300,000",02/11
