place,title,time,pay,date
인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급9,160",6분전
경기 성남시,코코이찌방야 판교알파돔시티점,시간협의,"시급11,002",5시간전
서울 강서구,코코이찌방야 롯데몰김포공항점,09:30~18:00,"시급11,000",6시간전
경기 부천시,코코이찌방야 부천역점,10:00~21:00,"시급9,160",7시간전
인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급9,160",11시간전
서울 강서구,코코이찌방야 롯데몰김포공항점,09:30~18:00,"시급11,000",02/26
경기 광명시,코코이찌방야 롯데아울렛 광명점,09:00~17:00,"시급11,000",02/26
인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급9,160",02/26
인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급9,160",02/26
경기 수원시,코코이찌방야 롯데아울렛 광교점,시간협의,"시급11,000",02/25
서울 중구,코코이찌방야 을지로시그니쳐타워점,11:00~15:00,"시급11,000",02/25
서울 동대문,코코이찌방야 청량리역점,16:00~21:00,"시급11,000",02/25
경기 성남시,코코이찌방야 판교알파돔시티점,시간협의,"시급11,002",02/23
경기 수원시,코코이찌방야 롯데아울렛 광교점,시간협의,"시급11,000",02/22
경기 광명시,코코이찌방야 롯데아울렛 광명점,09:00~17:00,"시급11,000",02/22
경기 안양시,코코이찌방야 롯데백화점 평촌점,시간협의,"시급11,000",02/20
서울 중구,코코이찌방야 을지로시그니쳐타워점,11:00~15:00,"시급11,000",02/19
경기 수원시,코코이찌방야 롯데아울렛 광교점,12:00~21:00,"시급11,000",02/18
서울 중구,코코이찌방야 을지로시그니쳐타워점,11:00~15:00,"시급11,000",02/18
경기 성남시,코코이찌방야 판교알파돔시티점,시간협의,"시급11,002",02/17
경기 평택시,코코이찌방야 평택험프리스점,시간협의,"월급2,100,000",02/12
경기 성남시,코코이찌방야 판교알파돔시티점,11:30~15:00,"시급11,002",02/11
