place,title,time,pay,date
경기 군포시,크리스피 크림 도넛 롯데피트인산본점,15:30~22:00,"시급9,160",26분전
경기 파주시,크리스피크림도넛  롯데파주아울렛점,14:00~21:00,"시급9,160",54분전
경기 파주시,크리스피크림도넛  롯데파주아울렛점,16:00~21:00,"시급9,160",54분전
경기 부천시,크리스피크림도넛 인천구월점,시간협의,"시급9,160",1시간전
서울 용산구,크리스피크림도넛  남영역점,14:00~20:00,"시급9,160",2시간전
서울 용산구,크리스피크림도넛  남영역점,14:00~20:00,"시급9,160",2시간전
서울 용산구,크리스피크림도넛  남영역점,14:00~20:00,"시급9,160",2시간전
서울 용산구,크리스피크림도넛  남영역점,14:00~20:00,"시급9,160",2시간전
서울 송파구,크리스피크림도넛  잠실점,15:00~22:00,"시급9,160",2시간전
서울 송파구,크리스피크림도넛  잠실점,15:00~22:00,"시급9,160",2시간전
전국 전체,크리스피크림도넛  잠실점,15:00~22:00,"시급9,160",2시간전
경기 성남시,크리스피 크림 도넛 남부터미널점,15:30~22:00,"시급9,160",2시간전
서울 마포구,크리스피 크림 도넛 마포T타운점,15:00~21:30,"시급9,160",2시간전
서울 마포구,크리스피 크림 도넛 마포T타운점,16:00~21:30,"시급9,160",3시간전
부산 해운대,크리스피크림도넛  롯데센텀시티점,09:00~15:00,"시급9,160",3시간전
서울 양천구,크리스피크림도넛  오목교점,16:00~22:30,"시급9,160",3시간전
서울 양천구,크리스피크림도넛  오목교점,16:00~22:30,"시급9,160",3시간전
인천 미추홀,크리스피 크림 도넛 롯데백화점 인천터,09:00~15:00,"시급9,160",3시간전
광주 서구,크리스피크림도넛  광주첨단점,시간협의,"시급9,160",5시간전
광주 광산구,크리스피크림도넛  광주첨단제조,14:00~22:00,"시급9,270",5시간전
경기 평택시,크리스피크림도넛 평택비전점,15:00~21:00,"시급9,160",5시간전
경기 고양시,크리스피 크림 도넛 KKD 여의도점,15:00~22:00,"시급9,160",5시간전
부산 금정구,크리스피 크림 도넛 KKD  부산대점,14:30~22:00,"시급9,160",5시간전
서울 영등포,크리스피 크림 도넛 KKD 여의도점,11:00~15:00,"시급9,160",5시간전
경남 김해시,크리스피 크림 도넛 김해봉황점,16:00~23:00,"시급9,160",5시간전
경남 김해시,크리스피 크림 도넛 김해봉황점,09:00~14:00,"시급9,160",5시간전
경기 수원시,크리스피크림도넛  수원인계점,시간협의,"시급9,160",6시간전
경기 수원시,크리스피크림도넛  수원인계점,시간협의,"시급9,160",6시간전
서울 강남구,크리스피 크림 도넛 수서역사점,15:00~20:00,"시급9,160",6시간전
서울 강남구,크리스피 크림 도넛 수서역사점,08:00~15:00,"시급9,160",6시간전
서울 강남구,크리스피 크림 도넛 수서역사점,15:00~20:00,"시급9,160",6시간전
서울 강남구,크리스피 크림 도넛 수서역사점,08:00~15:00,"시급9,160",6시간전
경기 고양시,크리스피크림도넛  사당점,15:30~22:00,"시급9,160",7시간전
경기 하남시,크리스피크림도넛  건대스타시티점,15:30~22:00,"시급9,160",7시간전
서울 강동구,크리스피크림도넛  건대스타시티점,15:30~22:00,"시급9,160",7시간전
서울 강동구,크리스피크림도넛  건대스타시티점,15:30~22:00,"시급9,160",7시간전
경기 성남시,크리스피크림도넛  건대스타시티점,16:00~22:00,"시급9,160",7시간전
부산 부산진,크리스피크림도넛  롯데백부산점,16:00~21:00,"시급9,160",7시간전
충북 청주시,크리스피크림도넛  청주터미널점,18:00~21:30,"시급9,160",8시간전
서울 관악구,크리스피크림도넛  사당점,15:00~22:30,"시급9,160",8시간전
