place,title,time,pay,date
부산 북구,키즈닥터 화명원,13:00~19:00,"연봉20,000,000",2시간전
부산 기장군,키즈닥터 정관원,14:00~19:30,"시급15,000",4시간전
충북 전체,키즈닥터 오창원,02:30~06:30,"시급20,000",9시간전
서울 송파구,키즈닥터 송파원,13:00~18:30,"연봉24,000,000",02/25
부산 남구,키즈닥터 메트로시티원,14:00~18:00,"건별10,000",02/25
부산 남구,키즈닥터 메트로시티원,14:00~18:00,"건별10,000",02/25
부산 남구,키즈닥터 메트로시티원,14:00~18:00,"건별10,000",02/25
서울 서초구,키즈닥터 서초본원,09:30~18:30,"연봉30,000,000",02/25
서울 서초구,키즈닥터 서초본원,09:30~18:30,"연봉30,000,000",02/25
서울 강남구,키즈닥터 서초본원,09:30~18:30,"연봉30,000,000",02/25
서울 강남구,키즈닥터 서초본원,03:30~08:30,"연봉30,000,000",02/25
서울 강남구,키즈닥터 송파원,13:00~18:30,"연봉24,000,000",02/21
경북 경산시,키즈닥터 경산원,13:00~19:00,"연봉22,000,000",02/21
경북 경산시,키즈닥터 경산원,13:00~19:00,"연봉22,000,000",02/21
서울 송파구,키즈닥터 송파원,13:00~18:30,"연봉24,000,000",02/20
서울 강남구,키즈닥터 송파원,13:00~18:30,"연봉24,000,000",02/20
대전 유성구,키즈닥터 반석원,12:30~19:00,"월급1,400,000",02/18
대전 유성구,키즈닥터 반석원,시간협의,"시급10,000",02/18
경기 성남시,키즈닥터 판교원,01:00~06:30,"월급1,700,000",02/18
경기 성남시,키즈닥터 판교원,01:00~06:30,"월급1,700,000",02/18
서울 구로구,키즈닥터 철산원,13:00~19:00,"시급15,000",02/18
경기 광명시,키즈닥터 철산원,13:00~19:00,"시급15,000",02/18
경기 광명시,키즈닥터 철산원,13:00~19:00,"시급15,000",02/18
대전 서구,키즈닥터 둔산원,12:30~19:00,"연봉20,000,000",02/18
대전 서구,키즈닥터 둔산원,12:30~19:00,"연봉20,000,000",02/18
부산 해운대,키즈닥터 센텀원,13:00~19:00,"연봉20,000,000",02/18
부산 연제구,키즈닥터 센텀원,13:00~19:00,"연봉20,000,000",02/18
부산 수영구,키즈닥터 센텀원,13:00~19:00,"연봉20,000,000",02/18
