place,title,time,pay,date
부산 연제구,투썸플레이스 부산거제점,08:30~17:30,"월급1,930,000",1분전
서울 서초구,투썸플레이스(주),시간협의,"시급11,160",1분전
서울 영등포,투썸플레이스 대방역점,19:00~23:00,"시급9,160",1분전
경기 김포시,투썸플레이스김포고촌점,13:00~20:30,"시급9,160",2분전
경기 광명시,투썸플레이스(주),시간협의,"시급9,160",6분전
경기 파주시,투썸플레이스파주운정산내,13:00~17:00,"시급9,160",8분전
경기 성남시,투썸플레이스 분당구미점,17:30~22:30,"시급9,500",14분전
서울 강남구,투썸플레이스 포스코사거리점,07:00~13:00,"시급9,300",21분전
서울 서대문,투썸플레이스이대역점,09:00~13:30,"시급9,160",22분전
경기 광명시,투썸플레이스(주),시간협의,"시급9,160",23분전
경기 오산시,투썸플레이스오산시청점,18:00~22:00,"시급9,160",26분전
서울 서초구,투썸플레이스 CJENM커머스부문점,09:00~15:30,"시급11,160",26분전
충남 천안시,투썸플레이스통정점,14:00~17:00,"시급9,160",33분전
경기 이천시,투썸플레이스 이천하이닉스점,시간협의,"시급9,300",34분전
서울 강남구,투썸플레이스(주),시간협의,"시급9,300",34분전
부산 강서구,투썸플레이스 부산명지오션시티점,시간협의,"월급2,200,000",36분전
서울 강남구,투썸플레이스 청담역점,시간협의,"시급9,300",38분전
경기 오산시,투썸플레이스 오산시티자이,17:00~22:00,"시급9,160",39분전
서울 강남구,투썸플레이스(주),시간협의,"시급11,160",40분전
서울 강남구,한흥물산(주) 투썸플레이스,시간협의,"시급9,160",42분전
전북 고창군,투썸플레이스 전북고창점,시간협의,"월급2,300,000",47분전
울산 울주군,투썸플레이스 언양교동점,08:00~24:00,"시급9,160",49분전
충남 논산시,투썸플레이스논산시청점,09:00~17:00,"시급10,000",50분전
경기 수원시,투썸플레이스 광교이루리타워,08:00~14:00,"시급9,200",50분전
충남 논산시,투썸플레이스논산시청점,09:00~17:00,"시급10,000",52분전
경기 수원시,투썸플레이스 광교이루리타워,18:00~22:00,"시급9,200",52분전
경기 평택시,투썸플레이스 평택법원점,08:30~16:00,"시급9,160",55분전
대구 북구,투썸플레이스 대구 연경점,16:00~23:00,"시급9,160",55분전
서울 동작구,투썸플레이스 반포효성점,07:30~13:00,"시급9,160",55분전
강원 춘천시,투썸플레이스춘천퇴계점,시간협의,"시급9,160",56분전
서울 강남구,투썸플레이스강남일원점,10:00~14:00,"시급9,160",57분전
대구 남구,(주)윤,시간협의,"시급9,160",58분전
경기 성남시,투썸플레이스(주),시간협의,"시급9,300",1시간전
경기 광명시,투썸플레이스 광명밤일점,시간협의,"시급9,200",1시간전
서울 중구,투썸플레이스 서대문역바비엥점,18:00~22:30,"시급9,160",1시간전
경기 양주시,투썸플레이스 양주고읍점,20:00~23:00,"시급9,160",1시간전
서울 양천구,투썸플레이스 양천신목로점,시간협의,"월급2,150,000",1시간전
서울 용산구,투썸플레이스 반포효성점,07:30~13:00,"시급9,160",1시간전
서울 성동구,투썸플레이스,시간협의,"월급1,920,000",1시간전
부산 사하구,투썸플레이스 부산아트몰링점,시간협의,"월급2,106,800",1시간전
