place,title,time,pay,date
경기 광명시,파리바게뜨 광명GIDC점,시간협의,"시급9,500",7분전
인천 연수구,파리바게뜨 송도센트럴파크,시간협의,"시급9,200",7분전
경기 고양시,파리바게뜨 원흥대영점,07:30~14:30,"시급9,500",14분전
서울 서초구,파리바게뜨 서초참누리점,07:00~15:00,"시급9,160",16분전
전북 전주시,파리바게뜨 전주마전점,12:00~17:00,"시급9,160",18분전
인천 서구,파리바게뜨 인천원당점,08:00~14:00,"시급10,000",18분전
인천 서구,파리바게뜨 청라루비점,16:00~21:00,"시급9,160",19분전
충남 예산군,파리바게뜨 충남덕산점,12:00~04:00,"시급9,160",22분전
강원 동해시,파리바게뜨 동해이도동점,시간협의,"시급9,160",28분전
인천 부평구,파리바게뜨 부개점,07:00~13:00,"시급9,160",28분전
서울 송파구,파리바게뜨 오금현대점,16:00~21:00,"시급9,160",30분전
경기 하남시,파리바게뜨 미사호반써밋점,07:30~13:00,"시급9,160",30분전
광주 동구,파리바게뜨 광주서석점,07:00~12:00,"시급9,160",37분전
전북 전주시,파리바게뜨 전주마전점,05:00~09:30,"시급9,160",37분전
부산 동래구,파리바게뜨 부산낙민점,18:00~23:00,"시급9,160",38분전
전북 전주시,파리바게뜨 전주마전점,17:00~22:00,"시급9,160",40분전
서울 영등포,파리바게뜨 한강성심병원점,07:00~11:00,"시급9,160",45분전
경북 김천시,파리바게뜨 김천혁신점,18:00~22:00,"시급9,160",45분전
서울 강남구,파리바게뜨 학동역고려은단,07:00~16:00,"연봉27,000,000",46분전
인천 연수구,파리바게뜨 송도마리나베이,시간협의,"시급9,160",50분전
인천 서구,파리바게뜨 검단신도시1호점,18:00~23:00,"시급9,160",52분전
경기 평택시,파리바게뜨 포승점,10:00~17:00,"시급9,160",53분전
경기 평택시,파리바게뜨 송탄송북점,시간협의,"시급9,160",55분전
서울 은평구,파리바게뜨 녹번역점,07:00~24:00,"시급9,160",57분전
경기 안양시,파리바게뜨 안양충훈부점,18:30~21:30,"시급9,160",59분전
경기 평택시,파리바게뜨 송탄송북점,16:00~20:00,"시급9,160",59분전
전남 순천시,파리바게뜨 순천역점,16:00~21:00,"시급9,160",1시간전
대구 달서구,파리바게뜨 대구월드마크점,15:30~21:30,"시급9,160",1시간전
경북 김천시,파리바게뜨 김천혁신점,18:00~22:00,"시급9,160",1시간전
경남 창원시,파리바게뜨 창원중앙점,07:00~12:00,"시급9,160",1시간전
부산 사상구,파리바게뜨 부산사상점,11:30~16:00,"시급9,160",1시간전
충남 부여군,파리바게뜨 부여쌍북점,07:00~00:30,"시급9,200",1시간전
경기 과천시,파리바게뜨 과천역점,시간협의,"시급9,160",1시간전
경기 하남시,파리바게뜨 미사역점,07:00~10:00,"시급9,160",1시간전
경기 김포시,파리바게뜨 김포호수마을점,14:00~22:00,"시급9,160",2시간전
서울 양천구,파리바게뜨 목사랑점,13:00~17:00,"시급9,200",2시간전
충북 청주시,파리바게뜨 청주산남점,08:00~02:00,"시급9,160",2시간전
경기 양주시,파리바게뜨 양주옥정대림,07:00~12:00,"시급9,160",2시간전
경남 창원시,파리바게뜨 창원무동점,07:00~12:30,"시급9,160",2시간전
서울 성북구,파리바게뜨 길음동부점,08:00~12:00,"시급9,160",2시간전
