place,title,time,pay,date
대구 전체,풀무원녹즙,07:30~11:30,"월급1,000,000",3분전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,08:30~11:30,"월급800,000",9분전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,08:30~11:30,"월급800,000",9분전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,08:30~11:30,"월급800,000",10분전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,08:30~11:30,"월급800,000",10분전
서울 강남구,풀무원 녹즙 논현 남부 오피스,07:00~11:30,"월급1,200,000",13분전
경기 성남시,분당북부오피스가맹점,05:30~09:30,"월급1,000,000",22분전
대구 전체,풀무원녹즙,07:30~11:30,"월급1,000,000",56분전
대구 전체,풀무원녹즙,07:30~11:30,"월급1,000,000",1시간전
경기 수원시,수원장안녹즙,07:00~12:00,"월급1,400,000",1시간전
부산 영도구,녹즙영도지사,시간협의,"월급1,000,000",2시간전
경기 성남시,분당북부오피스가맹점,05:30~09:30,"월급1,000,000",2시간전
경기 화성시,풀무원녹즙[동탄홈가맹점],00:00~03:00,"건별700,000",2시간전
경기 성남시,분당북부오피스가맹점,07:30~11:30,"월급1,200,000",2시간전
부산 사하구,풀무원건강생활 부산사하가맹점,07:00~09:30,"건별800,000",2시간전
경북 경산시,풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",2시간전
경기 수원시,영통녹즙,시간협의,"시급15,000",3시간전
경기 수원시,영통녹즙,시간협의,"월급700,000",3시간전
서울 광진구,광진녹즙,01:00~07:00,"시급13,000",3시간전
경기 군포시,풀무원건강생활 군포홈가맹점,시간협의,"월급750,000",3시간전
인천 부평구,풀무원건강생활 부평1특판가맹점,08:00~11:00,"월급1,000,000",3시간전
서울 성동구,풀무원녹즙성동홈가맹점,00:00~07:00,"시급10,000",4시간전
인천 서구,풀무원건강생활 서인천가맹점,08:00~11:00,"월급800,000",4시간전
경기 수원시,수원장안녹즙,07:00~12:00,"월급1,400,000",4시간전
대구 수성구,풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",4시간전
인천 계양구,풀무원녹즙 부평계양홈가맹점,시간협의,"월급900,000",4시간전
경기 수원시,영통녹즙,시간협의,"월급700,000",4시간전
인천 서구,풀무원건강생활 서인천가맹점,08:00~11:00,"월급800,000",4시간전
경기 안양시,풀무원 녹즙(안양),07:30~12:30,"월급1,300,000",5시간전
경기 수원시,수원장안녹즙,07:00~12:00,"월급1,400,000",5시간전
경기 안양시,풀무원 녹즙(안양),07:30~12:30,"월급1,300,000",5시간전
서울 강동구,풀무원건강생활 강동택배가맹점,시간협의,"월급1,000,000",6시간전
경기 군포시,군포건강드림,06:30~10:30,"월급1,200,000",6시간전
경기 수원시,햇살품은 녹즙,07:00~11:30,"건별1,000,000",6시간전
경기 성남시,분당북부오피스가맹점,07:30~11:30,"월급1,200,000",7시간전
부산 동래구,풀무원건강생활 동래오피스가맹점,08:00~10:30,"월급700,000",7시간전
부산 금정구,풀무원건강생활 동래오피스가맹점,07:00~11:30,"월급1,200,000",7시간전
부산 동래구,풀무원건강생활 동래오피스가맹점,07:00~11:30,"월급1,200,000",7시간전
대전 서구,풀무원녹즙,23:00~01:30,"월급550,000",7시간전
경기 화성시,풀무원녹즙[동탄홈가맹점],00:00~03:00,"건별700,000",7시간전
