place,title,time,pay,date
경기 파주시,피자이탈리 파주운정점,시간협의,"월급2,400,000",38분전
경기 부천시,피자이탈리 부천상동점,시간협의,"시급9,160",4시간전
경기 부천시,피자이탈리 부천상동점,시간협의,"시급9,160",4시간전
경기 남양주,피자이탈리 진접오남점,시간협의,"시급9,160",5시간전
경기 남양주,피자이탈리 진접오남점,시간협의,"시급9,160",5시간전
경기 남양주,피자이탈리 진접오남점,시간협의,"시급9,160",5시간전
경기 시흥시,피자이탈리 정왕점,18:00~22:00,"시급9,160",5시간전
경기 시흥시,피자이탈리 정왕점,18:00~22:00,"시급9,160",5시간전
경기 시흥시,피자이탈리 정왕점,18:00~22:00,"시급9,160",5시간전
경기 수원시,피자이탈리 수원권선점,18:00~23:00,"시급9,300",5시간전
경기 수원시,피자이탈리 수원권선점,18:00~23:00,"시급9,300",5시간전
인천 연수구,피자이탈리 송도점,17:00~00:00,"시급9,500",5시간전
인천 연수구,피자이탈리 송도점,17:00~00:00,"시급9,500",5시간전
경기 수원시,피자이탈리 수원권선점,18:00~23:00,"시급9,300",02/23
경기 수원시,피자이탈리 수원권선점,18:00~23:00,"시급9,300",02/23
경기 부천시,피자이탈리 부천상동점,시간협의,"월급2,400,000",02/22
인천 연수구,피자이탈리 송도점,17:00~00:00,"시급9,500",02/22
경기 부천시,피자이탈리 부천상동점,시간협의,"월급2,400,000",02/21
