place,title,time,pay,date
대구 수성구,하나로플랫폼 배달대행 범어지사,시간협의,"일급300,000",1시간전
대구 수성구,하나로플랫폼 배달대행 범어지사,시간협의,"일급300,000",1시간전
대구 수성구,하나로플랫폼 배달대행 범어지사,시간협의,"일급200,000",1시간전
대구 수성구,하나로플랫폼 범어지사,10:00~02:00,"일급300,000",1시간전
대구 남구,하나로플랫폼 범어지사,10:00~02:00,"일급300,000",1시간전
대구 중구,하나로플랫폼 범어지사,11:00~02:00,"일급300,000",1시간전
대구 달서구,하나로플랫폼 범어지사,11:00~02:00,"월급6,000,000",1시간전
대구 수성구,하나로플랫폼 범어지사,시간협의,"일급300,000",1시간전
경북 구미시,하나로플랫폼 구미센터,시간협의,"일급200,000",2시간전
경북 구미시,하나로플랫폼 구미센터,시간협의,"일급200,000",2시간전
부산 해운대,하나로플랫폼 안락지사,11:00~02:00,"일급250,000",3시간전
부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급250,000",3시간전
부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급250,000",3시간전
대구 수성구,하나로플랫폼 범어1지사,시간협의,"일급200,000",5시간전
대구 수성구,하나로플랫폼 범어1지사,시간협의,"일급200,000",5시간전
대구 수성구,하나로플랫폼 범어1지사,시간협의,"일급200,000",5시간전
대구 동구,하나로플랫폼 범어1지사,10:00~03:00,"일급200,000",5시간전
대구 동구,하나로플랫폼 범어1지사,10:00~03:00,"일급200,000",5시간전
대구 수성구,하나로플랫폼 범어1지사,10:00~03:00,"일급200,000",5시간전
대구 수성구,하나로플랫폼 범어1지사,10:00~03:00,"일급200,000",5시간전
부산 해운대,하나로플랫폼 안락지사,11:00~02:00,"일급250,000",5시간전
부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급250,000",5시간전
부산 연제구,하나로플랫폼 연제지사,11:00~02:00,"일급250,000",5시간전
부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급250,000",5시간전
대구 수성구,하나로플랫폼 배달대행 수성지사,시간협의,"일급200,000",6시간전
대구 수성구,하나로플랫폼 배달대행 수성지사,시간협의,"일급200,000",6시간전
대구 수성구,하나로플랫폼 수성지사,시간협의,"일급9,160",6시간전
대구 수성구,하나로플랫폼 수성지사,시간협의,"일급9,160",6시간전
부산 해운대,하나로플랫폼 안락지사,11:00~02:00,"일급250,000",7시간전
부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급250,000",7시간전
부산 연제구,하나로플랫폼 연제지사,11:00~02:00,"일급250,000",7시간전
부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급250,000",7시간전
대구 수성구,하나로플랫폼 범어2지사,시간협의,"일급250,000",02/26
대구 수성구,하나로플랫폼 범어2지사,시간협의,"일급250,000",02/26
대구 북구,하나로플랫폼 범어2지사,10:30~02:00,"일급250,000",02/26
대구 동구,하나로플랫폼 범어2지사,10:30~02:00,"일급250,000",02/26
경북 칠곡군,하나로플랫폼 배달대행 사곡지사,시간협의,"일급200,000",02/24
경북 구미시,하나로플랫폼 배달대행 사곡지사,시간협의,"일급200,000",02/24
경북 구미시,하나로플랫폼 배달대행 사곡지사,시간협의,"일급200,000",02/24
제주 제주시,하나로플랫폼 제주지사,14:00~01:00,"일급200,000",02/23
