place,title,time,pay,date
서울 노원구,한경기획 청년다방 노원역점,12:00~23:00,"월급2,250,000",8분전
경기 안양시,한경기획 청년다방 안양예술공원점,16:00~20:30,"시급9,160",9분전
경기 안양시,한경기획 청년다방 안양예술공원점,16:00~20:30,"시급9,160",13분전
경기 안양시,한경기획 청년다방 안양예술공원점,15:30~20:30,"시급9,160",15분전
부산 해운대,한경기획 해운대점,17:00~23:00,"시급10,000",2시간전
부산 해운대,한경기획 청년다방 장산점,시간협의,"시급9,160",3시간전
부산 해운대,한경기획 청년다방 장산점,17:00~23:00,"시급9,160",3시간전
충남 천안시,한경기획 청년다방 천안불당점,12:00~22:00,"월급2,300,000",4시간전
충북 청주시,한경기획 청년다방 청주율량점,17:00~22:00,"시급9,200",4시간전
경기 안산시,한경기획 청년다방 안산고잔점,10:00~13:00,"시급9,160",5시간전
충남 천안시,한경기획 청년다방 천안불당점,12:00~22:00,"월급2,300,000",5시간전
경기 안산시,한경기획 청년다방 안산고잔점,17:30~21:00,"시급9,160",5시간전
서울 은평구,한경기획 청년다방 응암이마트점,10:00~17:00,"시급9,160",5시간전
충남 천안시,한경기획 은화수식당 천안신불당점,시간협의,"시급9,500",5시간전
충북 청주시,한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급10,000",5시간전
강원 강릉시,한경기획 청년다방 강릉금학점,시간협의,"시급9,500",5시간전
충북 청주시,한경기획 청년다방 청주지웰시티점,시간협의,"시급10,000",6시간전
경기 시흥시,한경기획 청년다방 시흥능곡역점,17:30~21:30,"시급9,160",6시간전
충남 아산시,한경기획 청년다방 아산터미널점,시간협의,"시급9,200",6시간전
전남 여수시,한경기획 청년다방 여수학동점,12:00~17:00,"시급9,160",6시간전
충남 천안시,한경기획 청년다방 천안불당점,12:00~22:00,"월급2,300,000",6시간전
전남 여수시,한경기획 청년다방 여수학동점,12:00~17:00,"시급9,160",6시간전
경기 평택시,한경기획 평택고덕신도시점,18:00~22:00,"시급9,160",7시간전
부산 해운대,한경기획 해운대점,11:30~15:00,"시급9,160",7시간전
충북 청주시,한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급10,000",7시간전
경기 평택시,한경기획 평택고덕신도시점,18:00~22:00,"시급9,160",7시간전
경기 안양시,한경기획 청년다방 안양예술공원점,11:00~16:00,"시급9,160",8시간전
대전 서구,한경기획 청년다방 대전갤러리아점,10:30~22:00,"월급2,700,000",14시간전
부산 해운대,한경기획 해운대점,17:00~23:00,"시급9,500",02/25
경기 성남시,한경기획 청년다방 야탑역점,11:00~21:30,"시급9,160",02/22
경기 성남시,한경기획 청년다방 야탑역점,10:30~21:30,"일급105,000",02/22
충남 천안시,한경기획 은화수식당 천안신불당점,시간협의,"시급9,500",02/22
서울 도봉구,한경기획 청년다방 창동역점,11:00~22:00,"월급2,510,000",02/18
경기 수원시,한경기획 청년다방 수원호매실점,12:00~19:00,"시급9,200",02/18
충남 천안시,한경기획 은화수식당 천안신불당점,시간협의,"시급9,500",02/18
전북 군산시,한경기획 군산미장점,15:30~21:30,"시급9,160",02/17
경기 안산시,한경기획 청년다방 안산선부점,12:00~22:30,"시급9,160",02/14
경기 안산시,한경기획 청년다방 안산선부점,18:00~22:30,"시급9,160",02/13
경기 안산시,한경기획 청년다방 안산선부점,18:00~22:30,"시급9,160",02/13
강원 강릉시,한경기획 청년다방 강릉금학점,시간협의,"시급9,500",02/13
