place,title,time,pay,date
서울 서대문,할리스커피 신촌점,18:00~22:30,"시급9,160",2분전
서울 강동구,할리스커피 굽은다리역점,14:00~23:00,"월급2,250,000",3분전
전북 전주시,할리스커피 전주시네마점,시간협의,"월급2,200,000",6분전
대전 서구,할리스커피 대전만년점,시간협의,"월급1,930,000",7분전
경북 칠곡군,할리스커피 칠곡왜관점,13:00~19:00,"시급9,160",12분전
경북 칠곡군,할리스커피 칠곡왜관점,13:00~19:00,"시급9,160",13분전
서울 구로구,할리스커피 구로디지털점,시간협의,"시급9,160",23분전
서울 송파구,할리스커피 아시아선수촌점,13:00~18:00,"시급9,800",27분전
서울 양천구,할리스커피 목동삼성쉐르빌점,시간협의,"월급2,100,000",31분전
서울 양천구,할리스커피 목동삼성쉐르빌점,시간협의,"시급9,160",31분전
서울 구로구,할리스커피 구로점,12:00~16:30,"시급9,160",40분전
서울 강동구,할리스커피 굽은다리역점,12:00~18:00,"시급9,160",41분전
경기 안산시,할리스커피 안산선부점,시간협의,"시급9,160",1시간전
서울 송파구,할리스커피 아시아선수촌점,13:00~18:00,"시급9,300",1시간전
서울 종로구,할리스커피 독립문역점,12:00~17:00,"시급9,300",1시간전
인천 남동구,할리스커피 인천시청점,12:00~21:00,"월급2,000,000",1시간전
서울 강서구,할리스커피 마곡나인스퀘어점,08:00~17:00,"월급2,100,000",2시간전
서울 마포구,할리스커피 홍대역점,시간협의,"월급1,900,000",2시간전
서울 마포구,할리스커피 홍대역점,시간협의,"월급2,200,000",2시간전
서울 관악구,할리스커피 서울대예술문화점,12:30~15:30,"시급9,160",2시간전
경기 안산시,할리스커피 안산선부점,시간협의,"시급9,160",2시간전
서울 종로구,할리스커피 서울대학교병원점,18:30~23:00,"시급9,160",2시간전
부산 서구,할리스커피 부산서구청점,시간협의,"시급9,160",2시간전
대구 북구,할리스커피 대구연경점,시간협의,"시급9,160",2시간전
서울 전체,할리스커피 충무로역점,11:00~20:00,"연봉24,000,000",2시간전
전북 부안군,할리스커피 전북부안점,시간협의,"시급9,160",2시간전
경기 부천시,할리스커피 부천중동점,12:00~16:00,"시급9,160",2시간전
부산 서구,할리스커피 부산서구청점,시간협의,"시급9,160",2시간전
광주 북구,할리스커피 광주오치점,17:30~00:00,"시급9,160",2시간전
서울 강동구,할리스커피 굽은다리역점,12:00~18:00,"시급9,160",2시간전
전북 익산시,할리스커피 익산어양점,시간협의,"시급9,160",2시간전
서울 광진구,할리스커피 광나루역점,19:00~22:30,"시급9,160",2시간전
부산 수영구,할리스커피 부산광안해변점,시간협의,"시급9,160",2시간전
서울 광진구,할리스커피 광나루역점,13:00~18:00,"시급9,160",3시간전
경기 김포시,할리스커피 김포한강생태공원점,시간협의,"시급9,160",3시간전
부산 사상구,할리스커피 부산사상광장점,10:00~17:00,"시급9,200",3시간전
서울 송파구,할리스커피 수서점,16:00~22:00,"시급9,160",3시간전
경기 구리시,할리스커피 구리수택점,19:30~22:30,"시급9,160",3시간전
경기 구리시,할리스커피 구리수택점,12:00~15:00,"시급9,160",3시간전
서울 종로구,할리스커피 세종로점,시간협의,"시급9,160",3시간전
