place,title,time,pay,date
경기 안양시,호치킨 안양성원점,17:00~22:30,"시급11,000",3시간전
경기 안양시,호치킨 안양성원점,17:00~22:30,"시급11,000",3시간전
서울 중랑구,호치킨 상봉역점,시간협의,"월급2,300,000",3시간전
경기 안양시,호치킨 안양성원점,18:00~22:30,"시급9,160",4시간전
서울 송파구,호치킨 오금점,18:00~01:00,"시급10,000",4시간전
서울 송파구,호치킨 동부법조타운점,18:00~24:00,"시급9,160",4시간전
서울 송파구,호치킨 풍납2동점,18:00~22:30,"시급9,300",5시간전
서울 송파구,호치킨 오금점,18:00~01:00,"시급10,000",5시간전
인천 남동구,호치킨 향촌휴먼시아점(현1),18:00~22:00,"시급9,500",6시간전
서울 송파구,호치킨 풍납2동점,18:00~22:30,"시급9,300",6시간전
경기 용인시,호치킨 동백골드프라자점,17:00~24:00,"시급10,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
인천 계양구,호치킨 인천효성점(현),18:00~22:00,"시급9,160",7시간전
서울 송파구,호치킨 동부법조타운점,18:00~24:00,"시급9,160",7시간전
경기 시흥시,호치킨 시흥목감역점,18:00~02:00,"월급2,000,000",8시간전
경기 시흥시,호치킨 시흥목감역점,18:00~23:00,"시급9,200",8시간전
서울 송파구,호치킨 오금점,18:00~01:00,"시급10,000",13시간전
서울 구로구,호치킨 구일점,18:00~22:00,"시급11,000",20시간전
경기 의정부,호치킨 회룡역점,17:00~24:00,"시급11,000",02/26
인천 남동구,호치킨 관교점,18:00~24:00,"시급9,200",02/26
인천 남동구,호치킨 관교점,18:00~24:00,"시급9,200",02/26
인천 남동구,호치킨 관교점,18:00~24:00,"시급9,200",02/26
인천 남동구,호치킨 관교점,18:00~24:00,"시급9,200",02/26
서울 노원구,호치킨 노원역점,16:00~21:00,"시급9,300",02/26
서울 노원구,호치킨 노원역점,16:00~21:00,"시급9,300",02/24
인천 남동구,호치킨 향촌휴먼시아점(현1),18:00~22:00,"시급9,500",02/23
서울 중랑구,호치킨 상봉역점,시간협의,"월급2,300,000",02/21
인천 남동구,호치킨 향촌휴먼시아점(현1),18:00~22:00,"시급9,500",02/20
인천 연수구,호치킨 송도퍼스트파크점(양1),12:00~15:00,"시급9,500",02/18
서울 노원구,호치킨 노원역점,16:00~21:00,"시급9,300",02/18
서울 중랑구,호치킨 상봉역점,시간협의,"월급2,300,000",02/16
경기 화성시,호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",02/14
경기 화성시,호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",02/14
경기 화성시,호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",02/14
경기 화성시,호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",02/14
서울 중랑구,호치킨 상봉역점,시간협의,"월급2,300,000",02/13
경기 시흥시,호치킨 시흥목감역점,18:00~23:00,"시급9,200",02/12
