place,title,time,pay,date
강원 원주시,홍선생미술 강원-원주지사,시간협의,"시급18,750",02/26
경기 부천시,홍선생미술 경기-부천소사지사,시간협의,"시급18,750",02/26
경기 부천시,홍선생미술 경기-부천원미지사,시간협의,"시급18,750",02/26
대전 중구,홍선생미술 대전-서구/유성지사,시간협의,"시급18,750",02/26
경북 포항시,홍선생미술 경북-포항 북구지사,시간협의,"시급18,750",02/26
경북 포항시,홍선생미술 경북-포항 남구지사,시간협의,"시급18,750",02/26
부산 금정구,홍선생미술 부산-금정지사,시간협의,"시급18,750",02/26
서울 종로구,홍선생미술 서울-종로지사,시간협의,"시급18,750",02/26
경북 구미시,홍선생미술 경북-구미지사,시간협의,"시급18,750",02/26
대구 달서구,홍선생미술 대구-달서지사,시간협의,"시급18,750",02/26
서울 성북구,홍선생미술 서울-성북지사,시간협의,"시급18,750",02/26
경기 김포시,홍선생미술 경기-김포지사,시간협의,"시급18,750",02/26
서울 광진구,홍선생미술 서울-광진지사,시간협의,"시급18,750",02/26
경기 고양시,홍선생미술 경기-일산 서구지사,시간협의,"시급18,750",02/26
경기 군포시,홍선생미술 경기-군포/산본지사,시간협의,"시급18,750",02/26
서울 마포구,홍선생미술 서울-마포지사,시간협의,"시급18,750",02/26
서울 양천구,홍선생미술 서울-양천지사,시간협의,"시급18,750",02/26
서울 동작구,홍선생미술 서울-동작지사,시간협의,"시급18,750",02/26
서울 금천구,홍선생미술 서울-관악지사,시간협의,"시급18,750",02/26
경기 고양시,홍선생미술 경기-일산 동구지사,시간협의,"시급18,750",02/26
부산 연제구,홍선생미술 부산-연제지사,시간협의,"시급18,750",02/26
경기 화성시,홍선생미술 경기-오산지사,시간협의,"시급18,750",02/26
부산 동래구,홍선생미술 부산-동래지사,시간협의,"시급18,750",02/26
경기 양주시,홍선생미술 경기-양주지사,시간협의,"시급18,750",02/26
서울 서초구,홍선생미술 서울-서초지사,시간협의,"시급18,750",02/26
경기 수원시,홍선생미술 경기-수원 장안지사,시간협의,"시급18,750",02/26
광주 북구,홍선생미술 광주-광주 동구/북구지사,시간협의,"시급18,750",02/26
경기 화성시,홍선생미술 경기-화성북지사,시간협의,"시급18,750",02/26
인천 남동구,홍선생미술 인천-인천 남동구지사,시간협의,"시급18,750",02/26
서울 강남구,홍선생미술 서울-강남서지사,시간협의,"시급18,750",02/26
경기 성남시,홍선생미술 경기-성남지사,시간협의,"시급18,750",02/26
서울 송파구,홍선생미술 서울-송파지사,시간협의,"시급18,750",02/26
경기 부천시,홍선생미술 경기-부천오정지사,시간협의,"시급18,750",02/26
경기 성남시,홍선생미술 서울-위례지사,시간협의,"시급18,750",02/26
서울 강서구,홍선생미술 서울-강서지사,시간협의,"시급18,750",02/26
경기 화성시,홍선생미술 경기-화성-동탄2신도시지사,시간협의,"시급18,750",02/26
경기 용인시,홍선생미술 경기-용인 처인지사,시간협의,"시급18,750",02/26
서울 용산구,홍선생미술 서울-용산지사,시간협의,"시급18,750",02/26
서울 영등포,홍선생미술 서울-여의도영등포지사,시간협의,"시급18,750",02/26
경북 상주시,홍선생미술 경북-상주/문경지사,시간협의,"시급18,750",02/26
